diagnostic_marks,grade,section,flag_missing_mark,flag_out_of_range,flag_outlier_iqr,cohort,timepoint,student_key
65,11,11A,False,False,False,A,Grade 11,d8d5a13f77
70,11,11A,False,False,False,A,Grade 11,5e5ed6753d
80,11,11A,False,False,False,A,Grade 11,c9ade1889d
75,11,11A,False,False,False,A,Grade 11,80c060b15c
80,11,11A,False,False,False,A,Grade 11,dd98e3d3e0
85,11,11A,False,False,False,A,Grade 11,8c792fcfa0
70,11,11A,False,False,False,A,Grade 11,02f84d20b8
80,11,11A,False,False,False,A,Grade 11,0b5161ff10
85,11,11A,False,False,False,A,Grade 11,1cd3d93fff
75,11,11A,False,False,False,A,Grade 11,49b4ca0f64
85,11,11A,False,False,False,A,Grade 11,9bf7220f44
85,11,11A,False,False,False,A,Grade 11,a5c391db0c
65,11,11A,False,False,False,A,Grade 11,c542d2f9b6
75,11,11A,False,False,False,A,Grade 11,9947c553b0
70,11,11A,False,False,False,A,Grade 11,586b041a2c
70,11,11A,False,False,False,A,Grade 11,16f884e22b
75,11,11A,False,False,False,A,Grade 11,8c6f2a07b2
80,11,11A,False,False,False,A,Grade 11,391f4028b4
80,11,11A,False,False,False,A,Grade 11,4e3b12b049
65,11,11A,False,False,False,A,Grade 11,c8516d07f4
80,11,11A,False,False,False,A,Grade 11,7a0139f907
80,11,11A,False,False,False,A,Grade 11,e7b59c0743
85,11,11A,False,False,False,A,Grade 11,21e70471c6
85,11,11A,False,False,False,A,Grade 11,2fcdc1c089
90,11,11A,False,False,False,A,Grade 11,38655eef2f
95,11,11A,False,False,False,A,Grade 11,add753f6df
70,11,11B,False,False,False,B,Grade 11,7bba6a6fe8
75,11,11B,False,False,False,B,Grade 11,3f3921720f
80,11,11B,False,False,False,B,Grade 11,061681ddc3
85,11,11B,False,False,False,B,Grade 11,f257239f91
75,11,11B,False,False,False,B,Grade 11,16a8a087b0
90,11,11B,False,False,False,B,Grade 11,80c3685782
95,11,11B,False,False,False,B,Grade 11,d0220fbbc0
80,11,11B,False,False,False,B,Grade 11,d23b67cc6c
65,11,11B,False,False,False,B,Grade 11,53a7b6d1f1
90,11,11B,False,False,False,B,Grade 11,6f21df1da6
75,11,11B,False,False,False,B,Grade 11,bcdb6ca51b
75,11,11B,False,False,False,B,Grade 11,b355d9ae4d
80,11,11B,False,False,False,B,Grade 11,095a2839f0
90,11,11B,False,False,False,B,Grade 11,dd93c216a7
59,11,11B,False,False,True,B,Grade 11,97250e4513
85,11,11B,False,False,False,B,Grade 11,c4022a50f9
85,11,11B,False,False,False,B,Grade 11,052d5dd257
80,11,11B,False,False,False,B,Grade 11,8bd0262bef
80,11,11B,False,False,False,B,Grade 11,8d5fee044c
65,11,11B,False,False,False,B,Grade 11,25c2e2639c
75,11,11B,False,False,False,B,Grade 11,99a221d2e3
90,11,11B,False,False,False,B,Grade 11,ea5f863b1c
90,11,11B,False,False,False,B,Grade 11,d6c69d8fa6
80,11,11B,False,False,False,B,Grade 11,443e9c7622
75,11,11B,False,False,False,B,Grade 11,9f589fd912
75,11,11C,False,False,False,C,Grade 11,e99c6b44e7
70,11,11C,False,False,False,C,Grade 11,d605d2091e
70,11,11C,False,False,False,C,Grade 11,94f72717da
75,11,11C,False,False,False,C,Grade 11,ef854c85c4
80,11,11C,False,False,False,C,Grade 11,ba793b24b3
85,11,11C,False,False,False,C,Grade 11,8dc5f7d256
70,11,11C,False,False,False,C,Grade 11,4bfedb83b3
70,11,11C,False,False,False,C,Grade 11,7c9c4ecd2a
85,11,11C,False,False,False,C,Grade 11,2affcc0554
75,11,11C,False,False,False,C,Grade 11,4857ea93d0
90,11,11C,False,False,False,C,Grade 11,d0aaec5836
85,11,11C,False,False,False,C,Grade 11,a48c911fe8
75,11,11C,False,False,False,C,Grade 11,36652f8fc6
75,11,11C,False,False,False,C,Grade 11,cdd6b9db5f
70,11,11C,False,False,False,C,Grade 11,b114bea992
70,11,11C,False,False,False,C,Grade 11,31b100e87c
75,11,11C,False,False,False,C,Grade 11,7dc6b25a2a
80,11,11C,False,False,False,C,Grade 11,1a35988c63
80,11,11C,False,False,False,C,Grade 11,08f318d93d
85,11,11C,False,False,False,C,Grade 11,f95b60bde2
80,11,11C,False,False,False,C,Grade 11,c273985781
70,11,11C,False,False,False,C,Grade 11,2f137df30d
85,11,11C,False,False,False,C,Grade 11,3266074c90
85,11,11C,False,False,False,C,Grade 11,55fd40cd3d
80,11,11C,False,False,False,C,Grade 11,289c1363bb
65,12,12A,False,False,False,A,Grade 12,d8d5a13f77
70,12,12A,False,False,False,A,Grade 12,5e5ed6753d
80,12,12A,False,False,False,A,Grade 12,c9ade1889d
75,12,12A,False,False,False,A,Grade 12,80c060b15c
80,12,12A,False,False,False,A,Grade 12,dd98e3d3e0
85,12,12A,False,False,False,A,Grade 12,8c792fcfa0
70,12,12A,False,False,False,A,Grade 12,02f84d20b8
80,12,12A,False,False,False,A,Grade 12,0b5161ff10
85,12,12A,False,False,False,A,Grade 12,1cd3d93fff
75,12,12A,False,False,False,A,Grade 12,49b4ca0f64
85,12,12A,False,False,False,A,Grade 12,9bf7220f44
85,12,12A,False,False,False,A,Grade 12,a5c391db0c
65,12,12A,False,False,False,A,Grade 12,c542d2f9b6
75,12,12A,False,False,False,A,Grade 12,9947c553b0
70,12,12A,False,False,False,A,Grade 12,586b041a2c
70,12,12A,False,False,False,A,Grade 12,16f884e22b
75,12,12A,False,False,False,A,Grade 12,8c6f2a07b2
80,12,12A,False,False,False,A,Grade 12,391f4028b4
80,12,12A,False,False,False,A,Grade 12,4e3b12b049
65,12,12A,False,False,False,A,Grade 12,c8516d07f4
80,12,12A,False,False,False,A,Grade 12,7a0139f907
80,12,12A,False,False,False,A,Grade 12,e7b59c0743
85,12,12A,False,False,False,A,Grade 12,21e70471c6
85,12,12A,False,False,False,A,Grade 12,2fcdc1c089
90,12,12A,False,False,False,A,Grade 12,38655eef2f
95,12,12A,False,False,False,A,Grade 12,add753f6df
70,12,12B,False,False,False,B,Grade 12,7bba6a6fe8
75,12,12B,False,False,False,B,Grade 12,3f3921720f
80,12,12B,False,False,False,B,Grade 12,061681ddc3
85,12,12B,False,False,False,B,Grade 12,f257239f91
75,12,12B,False,False,False,B,Grade 12,16a8a087b0
90,12,12B,False,False,False,B,Grade 12,80c3685782
95,12,12B,False,False,False,B,Grade 12,d0220fbbc0
80,12,12B,False,False,False,B,Grade 12,d23b67cc6c
65,12,12B,False,False,False,B,Grade 12,53a7b6d1f1
